Mount Everest (8848 m),86.9252777777778,27.9880555555556
K2 (8611 m),76.5133333333333,35.8813888888889
Kangchenjunga (8586 m),88.1475,27.7033333333333
Lhotse (8516 m),86.9330555555556,27.9616666666667
Makalu (8485 m),87.0888888888889,27.8897222222222
Cho Oyu (8188 m),86.6608333333333,28.0941666666667
Dhaulagiri I (8167 m),83.4930555555556,28.6966666666667
Manaslu (8163 m),84.5597222222222,28.55
Nanga Parbat (8126 m),74.5891666666667,35.2372222222222
Annapurna I (8091 m),83.8202777777778,28.5955555555556
Gasherbrum I / Hidden Peak / K5 (8080 m),76.6963888888889,35.7244444444444
Broad Peak / K3 (8051 m),76.5683333333333,35.8105555555556
Gasherbrum II / K4 (8035 m),76.6533333333333,35.7577777777778
Shishapangma (8027 m),85.7786111111111,28.3533333333333
Gyachung Kang (7952 m),86.745,28.0980555555556
Gasherbrum III (7946 m),76.6416666666667,35.7591666666667
Annapurna II (7937 m),84.1219444444444,28.5347222222222
Gasherbrum IV (7932 m),76.6161111111111,35.7605555555556
Himalchuli (7893 m),84.6397222222222,28.4366666666667
Distaghil Sar (7884 m),75.1877777777778,36.3258333333333
Ngadi Chuli (7871 m),84.5666666666667,28.5033333333333
Nuptse (7864 m),86.8869444444445,27.9675
Khunyang Chhish (7823 m),75.2077777777778,36.2052777777778
Masherbrum / K1 (7821 m),76.3058333333333,35.6411111111111
Nanda Devi (7816 m),79.9708333333333,30.3758333333333
Chomo Lonzo (7804 m),87.1077777777778,27.9305555555556
Batura Sar (7795 m),74.5225,36.5102777777778
Kanjut Sar (7790 m),75.4169444444445,36.2055555555556
Rakaposhi (7788 m),74.4894444444444,36.1425
Namcha Barwa (7782 m),95.0552777777778,29.6311111111111
Kamet (7756 m),79.5916666666667,30.92
Dhaulagiri II (7751 m),83.3883333333333,28.7627777777778
Saltoro Kangri / K10 (7742 m),76.8480555555555,35.3991666666667
Jannu (7711 m),88.0444444444444,27.6822222222222
Tirich Mir (7708 m),71.8416666666667,36.2552777777778
Molamenqing (7703 m),85.8097222222222,28.355
Gurla Mandhata (7694 m),81.2966666666667,30.4386111111111
Saser Kangri I / K22 (7672 m),77.7525,34.8666666666667
Chogolisa (7665 m),76.5747222222222,35.6130555555556
Dhaulagiri IV (7661 m),83.3152777777778,28.7358333333333
Kongur Tagh (7649 m),75.3133333333333,38.5933333333333
Dhaulagiri V (7618 m),83.3613888888889,28.7338888888889
Shispare (7611 m),74.6808333333333,36.4405555555556
Trivor (7577 m),75.085,36.2875
Gangkhar Puensum (7570 m),90.4552777777778,28.0472222222222
Gongga Shan / Minya Konka (7556 m),101.879722222222,29.5952777777778
Annapurna III (7555 m),83.99,28.585
Skyang Kangri (7545 m),76.5675,35.9263888888889
Changtse (7543 m),86.9141666666667,28.0247222222222
Kula Kangri (7538 m),90.6163888888889,28.2269444444444
Kongur Tiube (7530 m),75.1958333333333,38.6158333333333
Mamostong Kangri (7516 m),77.5775,35.1419444444444
Saser Kangri II E (7513 m),77.8066666666667,34.8047222222222
Muztagh Ata (7546 m),75.1161111111111,38.2758333333333
Ismoil Somoni Peak (7495 m),72.0158333333333,38.9430555555556
Saser Kangri III (7495 m),77.785,34.8455555555556
Noshaq (7492 m),71.8286111111111,36.4322222222222
Pumari Chhish (7492 m),75.2502777777778,36.2113888888889
Passu Sar (7476 m),74.5877777777778,36.4877777777778
Yukshin Gardan Sar (7469 m),75.3747222222222,36.2511111111111
Teram Kangri I (7462 m),77.0783333333333,35.58
Jongsong Peak (7462 m),88.1358333333333,27.8816666666667
Malubiting (7458 m),74.8752777777778,36.0033333333333
Gangapurna (7455 m),83.9636111111111,28.605
Jengish Chokusu (7439 m),80.1297222222222,42.0347222222222
Sunanda Devi (7434 m),79.9944444444444,30.3666666666667
K12 (7428 m),77.0222222222222,35.2958333333333
Yangra / Ganesh I (7422 m),85.1272222222222,28.3913888888889
Sia Kangri (7422 m),76.7616666666667,35.6633333333333
Momhil Sar (7414 m),75.0363888888889,36.3177777777778
Kabru N (7412 m),88.1166666666667,27.6338888888889
Skil Brum (7410 m),76.4286111111111,35.8508333333333
Haramosh Peak (7409 m),74.8975,35.84
Istor-o-Nal (7403 m),71.8983333333333,36.3755555555556
Ghent Kangri (7401 m),76.8005555555555,35.5177777777778
Ultar (7388 m),74.7166666666667,36.3908333333333
Rimo I (7385 m),77.3688888888889,35.355
Churen Himal (7385 m),83.2175,28.7347222222222
Teram Kangri III (7382 m),77.0480555555555,35.5997222222222
Sherpi Kangri  (7380 m),76.7813888888889,35.4661111111111
Labuche Kang (7367 m),86.3508333333333,28.3041666666667
Kirat Chuli (7362 m),88.1952777777778,27.7877777777778
Abi Gamin (7355 m),79.6025,30.9325
Gimmigela (7350 m),88.1586111111111,27.7408333333333
Nangpai Gosum (7350 m),86.6141666666667,28.0733333333333
Saraghrar (7349 m),72.115,36.5475
Jomolhari (7326 m),89.2677777777778,27.8266666666667
Chamlang (7321 m),86.9797222222222,27.775
Chongtar (7315 m),76.4291666666667,35.9152777777778
Baltoro Kangri (7312 m),76.6733333333333,35.6391666666667
Siguang Ri (7309 m),86.685,28.1472222222222
The Crown (7295 m),76.2058333333333,36.1066666666667
Gyala Peri (7294 m),94.9686111111111,29.8144444444444
Porong Ri (7292 m),85.72,28.3894444444444
Baintha Brakk (7285 m),75.7533333333333,35.9475
Yutmaru Sar (7283 m),75.3672222222222,36.2263888888889
Baltistan Peak (7282 m),76.5516666666667,35.4183333333333
Kangpenqing (7281 m),85.5455555555556,28.5508333333333
